"TOA5","1004","CR6","2608","CR6.Std.03","CPU:1004_METandSF_WR Update_20151217.CR6","63039","Min05"
"TIMESTAMP","RECORD","WS6m_ms_S_WVT","WD_6m_D1_WVT","WD_6m_SD1_WVT","WS_2m_Avg","WS_0m_Avg","site","sensitpc_Avg","sensitke_Avg","sensitpc_Tot"
"TS","RN","meters/second","Deg","Deg","meters/second","meters/second","","","",""
"","","WVc","WVc","WVc","Avg","Avg","Smp","Avg","Avg","Tot"
"2015-11-07 09:50:00",0,1.856,183,0.069,0,0,1001,0,0,0
"2015-11-07 09:55:00",1,1.815,247.7,55.94,0.754,0.011,1001,0,0,0
"2016-01-28 13:30:00",2,2.15,272.1,5.948,2.186,1.243,1001,0,0,0
"2016-01-28 13:35:00",3,2.143,272.3,7.673,2.239,1.693,1001,0,0,0
"2016-01-28 13:40:00",4,2.042,274.1,10.83,1.9,1.549,1001,0,0,0
"2016-01-28 13:45:00",5,2.207,289.4,12.42,2.036,1.405,1001,0,0,0
"2016-01-28 13:50:00",6,2.103,279.9,14.73,1.879,1.255,1001,0,0,0
"2016-01-28 13:55:00",7,2.164,281.6,10.21,1.972,0.517,1001,0,0,0
"2016-01-28 14:00:00",8,2.29,287.8,12.5,2.111,1.375,1001,0,0,0
"2016-01-28 14:05:00",9,2.706,299.7,10.73,2.562,1.693,1001,0,0,0
"2016-01-28 14:10:00",10,2.97,294.7,7.914,2.626,1.722,1001,0,0,0
"2016-01-28 14:15:00",11,3.031,293.2,10.09,2.764,1.783,1001,0,0,0
"2016-01-28 14:20:00",12,2.226,273.7,11.79,1.754,1.61,1001,0,0,0
"2016-01-28 14:25:00",13,2.127,278,16.83,1.539,1.674,1001,0,0,0
"2016-01-28 14:30:00",14,2.711,308.1,9.87,2.519,1.605,1001,0,0,0
"2016-01-28 14:35:00",15,2.346,302.6,11.61,2.231,1.487,1001,0,0,0
"2016-01-28 14:40:00",16,2.551,302.8,8.16,2.402,1.615,1001,0,0,0
"2016-01-28 14:45:00",17,2.556,304,8.18,2.383,1.647,1001,0,0,0
"2016-01-28 14:50:00",18,2.66,307.2,7.879,2.458,1.714,1001,0,0,0
"2016-01-28 14:55:00",19,2.49,306.8,8.53,2.324,1.615,1001,0,0,0
"2016-01-28 15:00:00",20,2.13,311.8,9.58,1.986,1.469,1001,0,0,0
"2016-01-28 15:05:00",21,1.77,316.5,10.84,1.716,1.314,1001,0,0,0
"2016-01-28 15:10:00",22,1.578,313.7,10.8,1.498,1.141,1001,0,0,0
"2016-01-28 15:15:00",23,1.994,317,8.75,1.908,1.423,1001,0,0,0
"2016-01-28 15:20:00",24,1.799,321.9,9.81,1.687,1.287,1001,0,0,0
"2016-01-28 15:25:00",25,1.674,322.1,10.55,1.556,1.173,1001,0,0,0
"2016-01-28 15:30:00",26,2.058,324.6,10.22,1.911,1.458,1001,0,0,0
"2016-01-28 15:35:00",27,2.122,326.3,8.16,1.994,1.469,1001,0,0,0
"2016-01-28 15:40:00",28,2.034,339.7,7.707,2.007,1.527,1001,0,0,0
"2016-01-28 15:45:00",29,1.967,332.7,9.43,1.842,1.394,1001,0,0,0
"2016-01-28 15:50:00",30,2.02,349.6,6.008,1.98,1.543,1001,0,0,0
"2016-01-28 15:55:00",31,1.887,341.6,6.723,1.828,1.394,1001,0,0,0
"2016-01-28 16:00:00",32,1.562,344.7,6.308,1.503,1.231,1001,0,0,0
"2016-01-28 16:05:00",33,1.335,336.3,9.68,1.287,1.03,1001,0,0,0
"2016-01-28 16:10:00",34,1.316,320.3,6.603,1.268,0.984,1001,0,0,0
"2016-01-28 16:15:00",35,1.38,338.1,8.88,1.386,1.109,1001,0,0,0
"2016-01-28 16:20:00",36,1.471,1.78,7.792,1.434,1.202,1001,0,0,0
"2016-01-28 16:25:00",37,1.231,13.64,7.748,1.212,1.041,1001,0,0,0
"2016-01-28 16:30:00",38,1.524,359.3,4.812,1.498,1.178,1001,0,0,0
"2016-01-28 16:35:00",39,1.492,358.8,3.353,1.458,1.146,1001,0,0,0
"2016-01-28 16:40:00",40,1.551,344.3,7.759,1.516,1.141,1001,0,0,0
"2016-01-28 16:45:00",41,1.503,339.5,5.202,1.423,1.085,1001,0,0,0
"2016-01-28 16:50:00",42,1.826,318.8,3.287,1.436,0.946,1001,0,0,0
"2016-01-28 16:55:00",43,2.05,309.6,3.981,1.524,0.946,1001,0,0,0
"2016-01-28 17:00:00",44,2.127,313.2,2.337,1.527,0.975,1001,0,0,0
"2016-01-28 17:05:00",45,1.978,319.5,1.832,1.436,0.876,1001,0,0,0
"2016-01-28 17:10:00",46,1.847,320.3,0.718,1.33,0.635,1001,0,0,0
"2016-01-28 17:15:00",47,1.69,324.9,4.18,1.242,0.534,1001,0,0,0
"2016-01-28 17:20:00",48,1.674,339.9,5.06,1.202,0.392,1001,0,0,0
"2016-01-28 17:25:00",49,1.764,349.8,1.67,1.394,0.534,1001,0,0,0
"2016-01-28 17:30:00",50,1.783,355.3,3.099,1.29,0.398,1001,0,0,0
"2016-01-28 17:35:00",51,1.86,0.228,1.387,1.26,0.374,1001,0,0,0
"2016-01-28 17:40:00",52,2.087,356.1,1.651,1.212,0.326,1001,0,0,0
"2016-01-28 17:45:00",53,2.447,359.9,0.176,1.396,0.725,1001,0,0,0
"2016-01-28 17:50:00",54,2.732,358.7,1.105,1.732,1.015,1001,0,0,0
"2016-01-28 17:55:00",55,3.012,357,1.09,2.076,1.253,1001,0,0,0
"2016-01-28 18:00:00",56,2.94,356.3,1.281,1.996,1.175,1001,0,0,0
"2016-01-28 18:05:00",57,2.924,355.6,0.951,1.919,1.093,1001,0,0,0
"2016-01-28 18:10:00",58,2.951,357.9,1.124,1.954,1.098,1001,0,0,0
"2016-01-28 18:15:00",59,2.82,359.3,0.816,1.86,1.085,1001,0,0,0
