"datetime","ws_6m","wd_6m","wd_sd_6m","ws_2m","ws_15cm","deployment","ws_1m"
"2016-03-24 13:00:00","5.1210000000000004","144.59999999999999","5.9939999999999998","4.8529999999999998","3.5990000000000002","1001","\N"
"2016-03-24 13:00:00","2.9550000000000001","88","5.4989999999999997","2.8410000000000002","1.891","1002","\N"
"2016-03-24 13:00:00","3.9119999999999999","245.30000000000001","4.4729999999999999","3.8050000000000002","3.2120000000000002","1003","\N"
"2016-04-13 04:00:00","1.3640000000000001","41.390000000000001","19.379999999999999","1.2190000000000001","0.53400000000000003","1001","1.0580000000000001"
"2016-04-13 04:00:00","1.9430000000000001","278","16.579999999999998","1.53","0.64500000000000002","1002","1.3"
"2016-05-03 12:00:00","3.7029999999999998","167.90000000000001","6.9939999999999998","3.6230000000000002","2.5470000000000002","1001","3.452"
"2016-05-03 12:00:00","1.736","18.210000000000001","12.359999999999999","1.718","1.4670000000000001","1002","1.6879999999999999"
"2016-03-24 14:00:00","5.3920000000000003","144.59999999999999","5.6559999999999997","5.0540000000000003","3.7229999999999999","1001","\N"
"2016-04-13 05:00:00","1.794","280.30000000000001","13.93","1.5760000000000001","0.74399999999999999","1001","1.282"
"2016-03-24 14:00:00","3.427","96.099999999999994","5.1959999999999997","3.0990000000000002","2.2669999999999999","1002","\N"
"2016-04-13 05:00:00","2.625","295.5","9.4900000000000002","1.905","0.92500000000000004","1002","1.591"
"2016-03-24 14:00:00","4.0940000000000003","240.80000000000001","4.4980000000000002","3.9630000000000001","3.3519999999999999","1003","\N"
"2016-03-22 13:00:00","3.2759999999999998","68.260000000000005","8.6600000000000001","3.165","1.7849999999999999","1002","\N"
"2016-05-03 13:00:00","4.5579999999999998","159.59999999999999","5.8689999999999998","4.4370000000000003","3.0899999999999999","1001","4.2389999999999999"
"2016-05-03 13:00:00","1.8740000000000001","25.850000000000001","10.42","1.889","1.6100000000000001","1002","1.867"
"2016-03-22 13:00:00","3.5489999999999999","307.10000000000002","9.25","3.4910000000000001","2.8610000000000002","1003","\N"
"2016-03-23 14:00:00","5.8959999999999999","269.60000000000002","4.6449999999999996","5.6310000000000002","4.5449999999999999","1003","\N"
"2016-04-13 06:00:00","1.8320000000000001","305.30000000000001","18.91","1.27","0.63300000000000001","1001","1.0509999999999999"
"2016-04-13 06:00:00","3.089","304.19999999999999","5.29","2.2269999999999999","1.198","1002","1.8540000000000001"
"2016-03-24 15:00:00","3.4969999999999999","97.400000000000006","6.2069999999999999","3.1499999999999999","2.2709999999999999","1002","\N"
"2016-03-24 15:00:00","4.1589999999999998","236.19999999999999","4.6539999999999999","3.9950000000000001","3.3559999999999999","1003","\N"
"2016-05-03 14:00:00","5.1159999999999997","152.09999999999999","5.7069999999999999","4.8600000000000003","3.3530000000000002","1001","4.6449999999999996"
"2016-05-03 14:00:00","1.875","24.09","11.41","1.885","1.595","1002","1.863"
"2016-03-24 15:00:00","5.3540000000000001","142.80000000000001","5.633","4.9870000000000001","3.6509999999999998","1001","\N"
"2016-04-13 07:00:00","1.8620000000000001","305.10000000000002","10.48","1.7330000000000001","1.2130000000000001","1001","1.603"
"2016-04-13 07:00:00","3.3999999999999999","317.39999999999998","4.6619999999999999","2.883","2.0059999999999998","1002","2.5710000000000002"
"2016-03-23 06:00:00","3.7320000000000002","350.80000000000001","8.2400000000000002","2.673","1.54","1001","\N"
"2016-03-24 16:00:00","5.1100000000000003","136.80000000000001","5.5839999999999996","4.7510000000000003","3.351","1001","\N"
"2016-05-03 15:00:00","4.7590000000000003","149.59999999999999","6.0510000000000002","4.5350000000000001","3.137","1001","4.3070000000000004"
"2016-03-24 16:00:00","4.6710000000000003","106.2","5.9770000000000003","4.1600000000000001","2.895","1002","\N"
"2016-05-03 15:00:00","3.0910000000000002","85","6.4390000000000001","2.9689999999999999","1.9350000000000001","1002","2.7170000000000001"
"2016-03-24 16:00:00","3.6000000000000001","240.80000000000001","4.5650000000000004","3.3610000000000002","2.8319999999999999","1003","\N"
"2016-04-13 08:00:00","2.4420000000000002","350.30000000000001","18.75","2.3180000000000001","1.6659999999999999","1001","2.177"
"2016-04-13 08:00:00","4.1890000000000001","331.39999999999998","5.3280000000000003","3.7999999999999998","2.794","1002","3.4700000000000002"
"2016-05-03 16:00:00","4.585","146.19999999999999","6.5410000000000004","4.3570000000000002","3.0169999999999999","1001","4.1449999999999996"
"2016-03-24 17:00:00","4.9589999999999996","126.5","5.4509999999999996","4.5110000000000001","2.706","1001","\N"
"2016-05-03 16:00:00","3.9399999999999999","103.09999999999999","12.23","3.5870000000000002","2.5310000000000001","1002","3.141"
"2016-03-24 17:00:00","4.5919999999999996","116.5","7.1600000000000001","4.1980000000000004","3.0939999999999999","1002","\N"
"2016-04-13 09:00:00","3.3940000000000001","336.39999999999998","18.870000000000001","3.1389999999999998","2.214","1001","2.9329999999999998"
"2016-03-24 17:00:00","2.1760000000000002","239.5","4.0830000000000002","2.0510000000000002","1.776","1003","\N"
"2016-04-13 09:00:00","3.5209999999999999","357.19999999999999","5.4029999999999996","3.2949999999999999","2.6579999999999999","1002","3.1589999999999998"
"2016-05-03 17:00:00","4.6600000000000001","144","5.649","4.3609999999999998","2.9750000000000001","1001","4.1130000000000004"
"2016-05-03 17:00:00","3.4820000000000002","110.90000000000001","14.81","3.1739999999999999","2.347","1002","2.798"
"2016-03-24 18:00:00","3.9359999999999999","114.7","8.3900000000000006","3.327","1.772","1001","\N"
